date,prizeId,qty
2025-12-04,TAZAS,40
2025-12-04,BOMBILLOS,90
2025-12-04,SUPEREXITO-20,5
2025-12-04,SUPEREXITO-25,0
2025-12-04,DMUJERES-20,2
2025-12-04,POLIPAPEL-10,0
2025-12-04,KRISPYKREME,20
2025-12-04,TRIODONAS,8
2025-12-04,ENTRADASCINE,25
2025-12-04,PARRILLAASADORA,
2025-12-04,AIRFRYER,1
2025-12-04,LICUADORA,0
2025-12-04,SANDUCHERA,0
2025-12-04,OLLAARROCERA,0
2025-12-04,CAFETERA,0
2025-12-04,BATIDORAMANO,0
2025-12-04,PARRILLASANDUCHERA,0
2025-12-04,SPLIT,0
2025-12-04,TV65,0
2025-12-04,TV55,0
2025-12-04,PARLANTERECARGABLE,1
2025-12-04,CELULARREDNI,0
2025-12-04,REFRIGERADORA,0
2025-12-04,MIMOSAFRUTOSROJOS,0
2025-12-04,GRANDDUVALBLANCO375CC,5
2025-12-04,GRANDDUVAL750CC,0
2025-12-04,MONTSANT,10
2025-12-04,SIDRAL,8
2025-12-04,SUERTEPROXIMA,500
2025-12-05,TAZAS,40
2025-12-05,BOMBILLOS,90
2025-12-05,SUPEREXITO-20,5
2025-12-05,SUPEREXITO-25,0
2025-12-05,DMUJERES-20,2
2025-12-05,POLIPAPEL-10,0
2025-12-05,KRISPYKREME,20
2025-12-05,TRIODONAS,8
2025-12-05,ENTRADASCINE,25
2025-12-05,PARRILLAASADORA,
2025-12-05,AIRFRYER,1
2025-12-05,LICUADORA,0
2025-12-05,SANDUCHERA,0
2025-12-05,OLLAARROCERA,0
2025-12-05,CAFETERA,0
2025-12-05,BATIDORAMANO,0
2025-12-05,PARRILLASANDUCHERA,0
2025-12-05,SPLIT,0
2025-12-05,TV65,0
2025-12-05,TV55,0
2025-12-05,PARLANTERECARGABLE,1
2025-12-05,CELULARREDNI,0
2025-12-05,REFRIGERADORA,0
2025-12-05,MIMOSAFRUTOSROJOS,0
2025-12-05,GRANDDUVALBLANCO375CC,5
2025-12-05,GRANDDUVAL750CC,0
2025-12-05,MONTSANT,10
2025-12-05,SIDRAL,8
2025-12-05,SUERTEPROXIMA,500
2025-12-06,TAZAS,45
2025-12-06,BOMBILLOS,80
2025-12-06,SUPEREXITO-20,8
2025-12-06,SUPEREXITO-25,0
2025-12-06,DMUJERES-20,2
2025-12-06,POLIPAPEL-10,0
2025-12-06,KRISPYKREME,20
2025-12-06,TRIODONAS,10
2025-12-06,ENTRADASCINE,30
2025-12-06,PARRILLAASADORA,
2025-12-06,AIRFRYER,1
2025-12-06,LICUADORA,0
2025-12-06,SANDUCHERA,0
2025-12-06,OLLAARROCERA,0
2025-12-06,CAFETERA,1
2025-12-06,BATIDORAMANO,0
2025-12-06,PARRILLASANDUCHERA,0
